time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2014-09-24T11:16:15.010Z,-23.8009,-66.6321,224,6.2,mww,,25,2.407,1.19,us,usb000sfj5,2022-07-27T02:48:35.363Z,"56 km NW of San Antonio de los Cobres, Argentina",earthquake,6.9,1.8,,,reviewed,us,us
2014-09-25T08:29:58.390Z,6.0011,95.5588,194.66,5,mb,,19,1.58,1.06,us,usb000sftr,2014-12-20T00:53:57.040Z,"29 km ENE of Sabang, Indonesia",earthquake,4.1,4.4,0.049,141,reviewed,us,us
2014-09-25T17:51:17.606Z,61.9449,-151.816,108.9,6.2,ml,,,,1.02,ak,ak014cbigci8,2023-07-24T17:11:18.169Z,"22 km WSW of Skwentna, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2014-09-25T19:00:00.300Z,-56.023,-27.5968,119.63,5.1,mb,,54,5.388,0.57,us,usb000sfzw,2014-12-20T00:53:58.040Z,"South Sandwich Islands region",earthquake,5.4,4.8,0.08,53,reviewed,us,us
2014-09-30T22:34:27.030Z,-17.8303,-178.5952,572.19,5.5,mwb,,18,3.194,0.66,us,usb000shif,2022-05-03T18:18:26.143Z,"222 km E of Levuka, Fiji",earthquake,9.5,4.8,0.052,35,reviewed,us,us
2014-10-02T12:57:05.750Z,52.3188,158.0527,143,5.7,mww,,24,0.793,0.88,us,usb000si49,2022-07-27T03:44:10.061Z,"72 km SSW of Vilyuchinsk, Russia",earthquake,4.6,1.8,,,reviewed,us,us
2014-10-04T19:16:36.000Z,17.418,-94.822,145.8,5.6,mww,,,,1.3,us,usb000sitc,2022-07-27T04:08:50.496Z,"13 km SW of Vicente Guerrero, Mexico",earthquake,4.9,0.3,,,reviewed,unm,us
2014-10-06T01:14:31.570Z,-38.5632,176.4434,123.16,5.1,mww,,67,0.602,1.52,us,usb000sj1d,2022-07-27T04:10:31.092Z,"24 km WSW of Murupara, New Zealand",earthquake,5.6,3.6,,,reviewed,us,us
2014-10-07T04:28:55.660Z,11.5028,-85.7206,190.84,5.1,mb,,44,0.707,0.76,us,usb000sjf4,2022-07-27T04:15:49.663Z,"4 km SSW of Moyogalpa, Nicaragua",earthquake,6.4,4.2,0.026,512,reviewed,us,us
2014-10-07T05:09:10.000Z,-19.653,-69.769,109.2,5.4,mww,,,,1.19,us,usb000sjf7,2022-07-27T04:16:55.821Z,"73 km NNE of Iquique, Chile",earthquake,4.2,3.4,,,reviewed,guc,us
2014-10-12T10:44:11.040Z,-22.871,-68.063,120.13,5,mb,,33,0.824,1.21,us,usb000sl9k,2015-01-06T23:49:53.040Z,"14 km ENE of San Pedro de Atacama, Chile",earthquake,5.5,4.2,0.051,126,reviewed,us,us
2014-10-13T22:05:39.580Z,-6.6661,129.704,155.12,5.3,mb,,18,2.052,0.63,us,usb000sltd,2022-07-27T04:46:28.822Z,"Banda Sea",earthquake,6.3,4.6,0.056,110,reviewed,us,us
2014-10-17T09:26:00.240Z,-6.4963,107.1731,151.61,5.2,mb,,19,0.545,1.04,us,usb000snbi,2022-07-27T05:06:34.771Z,"26 km S of Cikarang, Indonesia",earthquake,6.5,4,0.053,120,reviewed,us,us
2014-10-17T14:50:58.970Z,-19.2088,-175.7901,196.57,5,mb,,42,5.544,0.97,us,usb000sng7,2015-01-15T20:03:29.040Z,"164 km WNW of Pangai, Tonga",earthquake,10.7,6.6,0.062,90,reviewed,us,us
2014-10-18T12:14:09.710Z,-58.438,-26.5432,161.91,5,mb,,52,6.915,0.56,us,usb000snt1,2015-01-15T20:03:31.040Z,"South Sandwich Islands region",earthquake,10.1,2.3,0.071,66,reviewed,us,us
2014-10-23T06:59:20.560Z,1.723,127.3296,102.96,5.2,mb,,62,0.945,0.73,us,usb000spz5,2015-01-17T01:25:33.040Z,"75 km W of Tobelo, Indonesia",earthquake,6.7,3.9,0.06,93,reviewed,us,us
2014-10-26T10:45:31.840Z,-10.5571,-74.0836,125,5.7,mww,,46,3.056,1.01,us,usb000sqqu,2022-07-27T05:53:23.114Z,"69 km NNE of Puerto Ocopa, Peru",earthquake,6.8,1.8,,,reviewed,us,us
2014-10-27T13:11:41.570Z,-11.936,166.536,138.48,5.1,mb,,27,3.549,0.75,us,usb000sqvc,2015-01-17T01:25:41.040Z,"156 km SSE of Lata, Solomon Islands",earthquake,7.8,3.4,0.054,119,reviewed,us,us
2014-10-30T12:11:35.650Z,-6.9881,117.5894,535,5.7,mww,,21,2.91,0.76,us,usb000srnq,2022-05-03T18:26:18.477Z,"157 km N of Pototano, Indonesia",earthquake,8.8,1.9,,,reviewed,us,us
2014-11-01T18:57:22.380Z,-19.6903,-177.7587,434,7.1,mww,,13,4.415,0.84,us,usc000stdc,2022-07-27T06:28:20.737Z,"Fiji region",earthquake,8.5,1.2,,,reviewed,us,us
2014-11-04T04:19:10.360Z,0.0782,123.6538,129.16,5.1,mb,,24,1.419,0.58,us,usc000sttw,2015-01-20T09:03:16.040Z,"83 km SE of Gorontalo, Indonesia",earthquake,6.1,3.5,0.052,126,reviewed,us,us
